Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
seneManyTv,,,2018-11-13 10:43:54,2018-11-13 10:45:31,1m - 36.713s,PASSED
,,,,,,
Test Cases/sendTvdiscoveryMany,,,2018-11-13 10:43:55,2018-11-13 10:45:31,1m - 36.094s,PASSED
"Statement - endpoint = ""http://"" + cmndIpAddress + "":8080/SmartInstall/webservices.jsp""",,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.018s,PASSED
"Statement - requestMethod = ""POST""",,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.001s,PASSED
"Statement - authHeader = ""whateverYouNeedForAuthentication""",,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.003s,PASSED
"Statement - header1 = new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, authHeader)",,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.003s,PASSED
"Statement - header2 = new com.kms.katalon.core.testobject.TestObjectProperty(Content-Type, com.kms.katalon.core.testobject.ConditionType.EQUALS, application/json)",,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.000s,PASSED
"Statement - header3 = new com.kms.katalon.core.testobject.TestObjectProperty(Accept, com.kms.katalon.core.testobject.ConditionType.EQUALS, application/json)",,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.000s,PASSED
"Statement - defaultHeaders = java.util.Arrays.asList(header1, header2, header3)",,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.022s,PASSED
"Statement - tvResponse1 = ""{""CommandDetails"":{""TVDiscoveryParameters"":{""PowerStatus"":""On"",""TVIPAddress"":""",,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.002s,PASSED
"Statement - tvResponse2 = "",""TVModelNumber"":""32HFL5011T/12"",""TVRoomID"":""",,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.002s,PASSED
"Statement - tvResponse3 = "",""VSecureTVID"":""80F4F91""},""WebServiceParameters"":{""PollingFrequency"":10,""TVUniqueID"":""",,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.003s,PASSED
"Statement - tvResponse4 = ""}},""CmdType"":""Response"",""Cookie"":293,""Fun"":""TVDiscoveryService"",""Svc"":""WebServices"",""SvcVer"":""3.0""}""",,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.001s,PASSED
Statement - ro = new com.kms.katalon.core.testobject.RestRequestObjectBuilder().withRestUrl(endpoint).withHttpHeaders(defaultHeaders).withRestRequestMethod(requestMethod).build(),,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.006s,PASSED
Statement - For (def index : (1..internal.GlobalVariable.tvDiscoveryCount)),,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.019s,PASSED
"Statement - tvRoomId = """"00000""""",,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.000s,PASSED
Statement - If (index > 0 && index < 10),,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.006s,PASSED
Statement - return tvRoomId,,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.000s,PASSED
"Statement - macAddress = "",""TVMACAddress"":""1C:5A:6B:B5:C5:7F""""",,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.000s,PASSED
Statement - If (index > 0 && index < 10),,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.000s,PASSED
Statement - return macAddress,,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.000s,PASSED
"Statement - tvSerialNumber = "",""TVSerialNumber"":""FZ1A16140605"" + index + """"""",,,2018-11-13 10:43:56,2018-11-13 10:43:56,0.016s,PASSED
Statement - return tvSerialNumber,,,2018-11-13 10:43:56,2018-11-13 10:43:57,1.515s,PASSED
"Statement - tvRoomId = """"00000""""",,,2018-11-13 10:43:57,2018-11-13 10:43:57,0.001s,PASSED
